Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
42,42.39131524,10.16.2015 09:35:00,42.39131582,1,1,0,3.43441844,0,0,0,0,0,0,0,0,0
43,43.40689108,10.16.2015 09:35:01,43.40689166,1,1,0,3.434580564,0,0,0,0,0,0,0,0,0
44,44.42253598,10.16.2015 09:35:02,44.42253656,1,1,0,3.434256554,0,0,0,0,-6.48022E-05,0,0,0,0
45,45.4371483,10.16.2015 09:35:03,45.43714885,1,1,0,3.434580564,0,0,0,0,0,0,0,0,0
46,46.43811032,10.16.2015 09:35:04,46.43811089,1,1,0,3.43441844,0,0,0,0,0,0,0,0,0
47,47.45371487,10.16.2015 09:35:05,47.45371544,1,1,0,3.434580564,0,0,0,0,3.24249E-05,0,0,0,0
48,48.46943482,10.16.2015 09:35:06,48.46943547,1,1,0,3.43441844,0,0,0,0,0,0,0,0,0
49,49.48495552,10.16.2015 09:35:07,49.48495609,1,1,0,3.43441844,0,0,0,0,0,0,0,0,0
50,50.48507463,10.16.2015 09:35:08,50.48507519,1,1,0,3.434256554,0,0,0,0,-3.23772E-05,0,0,0,0
51,51.50055321,10.16.2015 09:35:09,51.50055388,1,1,0,3.43441844,0,0,0,0,0,0,0,0,0
52,52.51621173,10.16.2015 09:35:11,52.51621231,1,1,0,3.434256554,0,0,0,0,-3.23772E-05,0,0,0,0
53,53.51661694,10.16.2015 09:35:12,53.51661758,1,1,0,3.43441844,0,0,0,0,0,0,0,0,0
54,54.53177226,10.16.2015 09:35:13,54.53177284,1,1,0,3.434580564,0,0,0,0,0,0,0,0,0
55,55.54737831,10.16.2015 09:35:14,55.54737889,1,1,0,3.434580564,0,0,0,0,0,0,0,0,0
56,56.54741291,10.16.2015 09:35:15,56.54741346,1,1,0,3.434256554,0,0,0,0,0,0,0,0,0
57,57.56297613,10.16.2015 09:35:16,57.56297671,1,1,0,3.43441844,0,0,0,0,0,0,0,0,0
58,58.56297671,10.16.2015 09:35:17,58.56297729,1,1,0,3.43441844,0,0,0,0,-3.24249E-05,0,0,0,0
59,59.57761705,10.16.2015 09:35:18,59.57761731,1,1,0,3.43441844,0,0,0,0,0,0,0,0,0
60,60.00063135,10.16.2015 09:35:18,60.00063199,1,1,0,3.434580564,0,0,0,0,0,0,0,0,0
61,61.01659066,10.16.2015 09:35:19,1.015523129,2,1,1.000131845,3.582985401,0.000282072,0,0.001009878,0,0.001911783,0,0,0,0
62,62.03161591,10.16.2015 09:35:20,2.030549043,2,1,0.999950469,3.585739613,0.000564007,0,0.002020446,0,0.002462626,0,0,0,0
63,63.03162321,10.16.2015 09:35:21,3.030555776,2,1,1.000131845,3.587845802,0.000841764,0,0.00301669,0,0.002883863,0,0,0,0
64,64.04781441,10.16.2015 09:35:22,4.046746875,2,1,0.999950469,3.589466095,0.001124038,0,0.004029681,0,0.003207922,0,0,0,0
65,65.04784209,10.16.2015 09:35:23,5.046774719,2,1,0.999769151,3.590924025,0.001401811,0,0.005026981,0,0.002559805,0,0,0,0
66,66.06364471,10.16.2015 09:35:24,6.062577263,2,1,0.999769151,3.592544317,0.001683968,0,0.006040443,0,0.001846981,0,0,0,0
67,67.07899686,10.16.2015 09:35:25,7.077929422,2,1,1.000131845,3.593840361,0.001965992,0,0.007053811,0,0.001587725,0,0,0,0
68,68.09461229,10.16.2015 09:35:26,8.093544851,2,1,0.999950469,3.594974518,0.002248091,0,0.008067809,0,0.001198912,0,0,0,0
69,69.09468246,10.16.2015 09:35:27,9.093614996,2,1,0.999950469,3.596108675,0.002525862,0,0.009066576,0,0.001101732,0,0,0,0
70,70.11018201,10.16.2015 09:35:28,10.10911448,2,1,0.999950469,3.597242594,0.002807939,0,0.010081142,0,0.00106926,0,0,0,0
71,71.12581461,10.16.2015 09:35:29,11.12474707,2,1,0.999950469,3.598376751,0.003090045,0,0.011096101,0,0.00097208,0,0,0,0
72,72.12583575,10.16.2015 09:35:30,12.12476822,2,1,0.999769151,3.599186897,0.003367806,0,0.012095701,0,0.000907278,0,0,0,0
73,73.14138623,10.16.2015 09:35:31,13.14031869,2,1,0.999950469,3.600320816,0.003649886,0,0.013111109,0,0.000939655,0,0,0,0
74,74.15707462,10.16.2015 09:35:32,14.15600706,2,1,0.999950469,3.601293087,0.003932006,0,0.014126919,0,0.000874901,0,0,0,0
75,75.1726337,10.16.2015 09:35:33,15.17156617,2,1,0.999769151,3.601778984,0.004214091,0,0.01514284,0,0.000745249,0,0,0,0
76,76.17276666,10.16.2015 09:35:34,16.17169922,2,1,0.999950469,3.60258913,0.004491901,0,0.016143592,0,0.000745249,0,0,0,0
77,77.18825018,10.16.2015 09:35:35,17.18718265,2,1,1.000131845,3.603399277,0.004773965,0,0.017159882,0,0.000680494,0,0,0,0
78,78.20384334,10.16.2015 09:35:36,18.2027759,2,1,0.999950469,3.604209185,0.005056079,0,0.018176567,0,0.000648022,0,0,0,0
79,79.21947241,10.16.2015 09:35:37,19.21840497,2,1,0.999769151,3.604857206,0.005338182,0,0.019193415,0,0.000680447,0,0,0,0
80,80.23506435,10.16.2015 09:35:38,20.23399681,2,1,1.000131845,3.605505466,0.005620275,0,0.020210415,0,0.000615692,0,0,0,0
81,81.25066282,10.16.2015 09:35:39,21.24959538,2,1,0.999950469,3.606153488,0.005902366,0,0.02122759,0,0.000583267,0,0,0,0
82,82.26630729,10.16.2015 09:35:40,22.26523976,2,1,0.999950469,3.60680151,0.006184482,0,0.022245035,0,0.000550842,0,0,0,0
83,83.28189905,10.16.2015 09:35:41,23.28083152,2,1,0.999950469,3.607449532,0.006466585,0,0.023262603,0,0.000550842,0,0,0,0
84,84.28190065,10.16.2015 09:35:42,24.28083311,2,1,0.999950469,3.607935667,0.006744349,0,0.02426467,0,0.000518465,0,0,0,0
85,85.2975078,10.16.2015 09:35:43,25.29644036,2,1,0.999950469,3.608583689,0.007026452,0,0.025282529,0,0.00048604,0,0,0,0
86,86.29752177,10.16.2015 09:35:44,26.29645423,2,1,0.999950469,3.6089077,0.00730423,0,0.026284946,0,0.00048604,0,0,0,0
87,87.31310706,10.16.2015 09:35:45,27.31203953,2,1,0.999950469,3.609393835,0.007586326,0,0.027303076,0,0.000421238,0,0,0,0
88,88.32872305,10.16.2015 09:35:46,28.3276556,2,1,0.999950469,3.609879732,0.007868428,0,0.028321377,0,0.000421238,0,0,0,0
89,89.3433628,10.16.2015 09:35:47,29.34229495,2,1,0.999950469,3.610365868,0.008150262,0,0.029338837,0,0.000421238,0,0,0,0
90,90.34433585,10.16.2015 09:35:48,30.34326831,2,1,0.999950469,3.610689878,0.008428298,0,0.030342694,0,0.000356436,0,0,0,0
91,91.35993778,10.16.2015 09:35:49,31.35887025,2,1,0.999950469,3.611175776,0.008710393,0,0.031361347,0,0.000388813,0,0,0,0
92,92.35997198,10.16.2015 09:35:50,32.35890452,2,1,0.999950469,3.611661911,0.008988163,0,0.032364492,0,0.000388813,0,0,0,0
93,93.37554804,10.16.2015 09:35:51,33.37448051,2,1,0.999769151,3.611985922,0.009270253,0,0.03338334,0,0.000356436,0,0,0,0
94,94.39116266,10.16.2015 09:35:52,34.39009513,2,1,0.999950469,3.612472057,0.009552346,0,0.034402302,0,0.000388861,0,0,0,0
95,95.3911946,10.16.2015 09:35:53,35.39012714,2,1,0.999950469,3.612796068,0.009830112,0,0.035405745,0,0.000324059,0,0,0,0
96,96.40583226,10.16.2015 09:35:55,36.40476469,2,1,0.999950469,3.613120079,0.01010789,0,0.036409328,0,0.000324059,0,0,0,0
97,97.40675646,10.16.2015 09:35:56,37.40568893,2,1,1.000313163,3.61344409,0.010389988,0,0.037428606,0,0.000324011,0,0,0,0
98,98.42235776,10.16.2015 09:35:57,38.42129023,2,1,0.999769151,3.613768101,0.010672089,0,0.038447981,0,0.000291634,0,0,0,0
99,99.42236986,10.16.2015 09:35:58,39.42130232,2,1,0.999950469,3.613930225,0.010949852,0,0.039451776,0,0.000259256,0,0,0,0
100,100.4223802,10.16.2015 09:35:59,40.42131265,2,1,0.999769151,3.614254236,0.01122762,0,0.040455657,0,0.000259256,0,0,0,0
101,101.4380789,10.16.2015 09:36:00,41.43701149,2,1,0.999950469,3.614578247,0.011509754,0,0.041475409,0,0.000291634,0,0,0,0
102,102.4535679,10.16.2015 09:36:01,42.45250032,2,1,0.999950469,3.614902258,0.011791824,0,0.042495008,0,0.000291634,0,0,0,0
103,103.4692327,10.16.2015 09:36:02,43.46816516,2,1,1.000131845,3.615226269,0.012073943,0,0.043514862,0,0.000259209,0,0,0,0
104,104.4849538,10.16.2015 09:36:03,44.48388639,2,1,0.999950469,3.615226269,0.01235607,0,0.04453483,0,0.000226831,0,0,0,0
105,105.4849749,10.16.2015 09:36:04,45.48390734,2,1,0.999769151,3.61555028,0.012633843,0,0.045539113,0,0.000226831,0,0,0,0
106,106.4996194,10.16.2015 09:36:05,46.49855183,2,1,0.999950469,3.61587429,0.012911508,0,0.046543073,0,0.000226831,0,0,0,0
107,107.5160145,10.16.2015 09:36:06,47.51494696,2,1,0.999950469,3.616036415,0.013197987,0,0.047578976,0,0.000194454,0,0,0,0
108,108.5160314,10.16.2015 09:36:07,48.5149639,2,1,1.000131845,3.616360426,0.013475756,0,0.048583443,0,0.000194454,0,0,0,0
109,109.5306627,10.16.2015 09:36:08,49.52959519,2,1,0.999769151,3.616684437,0.013753515,0,0.049587944,0,0.000226831,0,0,0,0
110,110.5311095,10.16.2015 09:36:09,50.53004206,2,1,0.999950469,3.616846323,0.014031285,0,0.050592544,0,0.000194407,0,0,0,0
111,111.5323304,10.16.2015 09:36:10,51.53126293,2,1,1.000131845,3.617008448,0.014313601,0,0.05161364,0,0.000194407,0,0,0,0
112,112.5473922,10.16.2015 09:36:11,52.54632473,2,1,0.999950469,3.617170334,0.014595549,0,0.052633466,0,0.000194407,0,0,0,0
113,113.5628743,10.16.2015 09:36:12,53.56180681,2,1,0.999769151,3.617008448,0.014877602,0,0.053653716,0,9.72271E-05,0,0,0,0
114,114.578442,10.16.2015 09:36:13,54.57737458,2,1,1.000313163,3.617656469,0.015159693,0,0.054674172,0,0.000194407,0,0,0,0
115,115.5941148,10.16.2015 09:36:14,55.5930473,2,1,0.999950469,3.617656469,0.01544181,0,0.055694765,0,0.000129604,0,0,0,0
116,116.6093506,10.16.2015 09:36:15,56.60828311,2,1,0.999950469,3.617818356,0.015723817,0,0.056715028,0,0.000129604,0,0,0,0
117,117.6095809,10.16.2015 09:36:16,57.60851341,2,1,0.999950469,3.618142366,0.01600165,0,0.057720221,0,0.000194407,0,0,0,0
118,118.6252594,10.16.2015 09:36:17,58.62419182,2,1,0.999950469,3.618304491,0.016283781,0,0.058741016,0,0.000194407,0,0,0,0
119,119.6399453,10.16.2015 09:36:18,59.63887755,2,1,0.999950469,3.618304491,0.016565618,0,0.059760779,0,0.000162029,0,0,0,0
120,120.6408629,10.16.2015 09:36:19,60.63979536,2,1,0.999950469,3.618466616,0.016843633,0,0.060766764,0,0.000129652,0,0,0,0
121,121.6410633,10.16.2015 09:36:20,61.63999581,2,1,0.999950469,3.618790627,0.017121454,0,0.061772092,0,0.000162029,0,0,0,0
122,122.6565035,10.16.2015 09:36:21,62.65543599,2,1,0.999950469,3.618790627,0.017403517,0,0.062792833,0,0.000129652,0,0,0,0
123,123.6720803,10.16.2015 09:36:22,63.67101272,2,1,0.999769151,3.618952513,0.017685607,0,0.063813711,0,0.000162029,0,0,0,0
124,124.6720892,10.16.2015 09:36:23,64.67102172,2,1,0.999950469,3.619114637,0.017963377,0,0.064818986,0,0.000129604,0,0,0,0
125,125.6720944,10.16.2015 09:36:24,65.67102687,2,1,0.999950469,3.619438648,0.018241137,0,0.06582426,0,0.000162029,0,0,0,0
126,126.6875915,10.16.2015 09:36:25,66.68652394,2,1,1.000131845,3.619438648,0.018523212,0,0.066845201,0,0.000129604,0,0,0,0
127,127.7032922,10.16.2015 09:36:26,67.7022247,2,1,0.999950469,3.619600534,0.018805342,0,0.06786637,0,0.000129604,0,0,0,0
128,128.7033038,10.16.2015 09:36:27,68.7022363,2,1,0.999950469,3.619924545,0.019083103,0,0.068871764,0,0.000161982,0,0,0,0
129,129.7189099,10.16.2015 09:36:28,69.71784239,2,1,0.999950469,3.619924545,0.019365212,0,0.069892936,0,0.000161982,0,0,0,0
130,130.7345106,10.16.2015 09:36:29,70.73344309,2,1,1.000131845,3.620248556,0.019647305,0,0.070914094,0,0.000161982,0,0,0,0
131,131.7501309,10.16.2015 09:36:30,71.74906335,2,1,0.999950469,3.62008667,0.019929412,0,0.071935344,0,9.72271E-05,0,0,0,0
132,132.7656395,10.16.2015 09:36:31,72.76457198,2,1,1.000131845,3.620410681,0.020211472,0,0.072956453,0,0.000129604,0,0,0,0
133,133.7813669,10.16.2015 09:36:32,73.7802994,2,1,0.999769151,3.620248556,0.020493614,0,0.073977906,0,6.48022E-05,0,0,0,0
134,134.7969544,10.16.2015 09:36:33,74.795887,2,1,0.999950469,3.620572805,0.020775711,0,0.074999218,0,0.000129652,0,0,0,0
135,135.7969615,10.16.2015 09:36:34,75.79589394,2,1,0.999950469,3.620734692,0.021053482,0,0.076004907,0,0.000129604,0,0,0,0
136,136.7970335,10.16.2015 09:36:35,76.79596609,2,1,1.000131845,3.620572805,0.021331262,0,0.077010656,0,6.48499E-05,0,0,0,0
137,137.811703,10.16.2015 09:36:36,77.81063546,2,1,0.999950469,3.620734692,0.021609004,0,0.078016297,0,6.48022E-05,0,0,0,0
138,138.8121904,10.16.2015 09:36:37,78.81112286,2,1,1.000131845,3.621058702,0.021891002,0,0.079037378,0,0.000129604,0,0,0,0
139,139.812547,10.16.2015 09:36:38,79.81147955,2,1,0.999950469,3.621058702,0.022168859,0,0.080043497,0,0.000129604,0,0,0,0
140,140.8281462,10.16.2015 09:36:39,80.82707863,2,1,0.999769151,3.621220827,0.022450951,0,0.081064992,0,9.72271E-05,0,0,0,0
141,141.8437758,10.16.2015 09:36:40,81.84270826,2,1,0.999769151,3.621058702,0.022733046,0,0.082086523,0,6.48022E-05,0,0,0,0
142,142.859446,10.16.2015 09:36:41,82.85837851,2,1,0.999769151,3.621382713,0.023015144,0,0.083108098,0,9.71794E-05,0,0,0,0
143,143.8749877,10.16.2015 09:36:42,83.87392019,2,1,0.999769151,3.621544838,0.023297223,0,0.084129647,0,9.72271E-05,0,0,0,0
144,144.8906172,10.16.2015 09:36:43,84.88954972,2,1,0.999950469,3.621706724,0.023579323,0,0.085151298,0,9.71794E-05,0,0,0,0
145,145.9062752,10.16.2015 09:36:44,85.90520765,2,1,1.000313163,3.621868849,0.023861436,0,0.086173028,0,0.000162029,0,0,0,0
146,146.9218306,10.16.2015 09:36:45,86.92076303,2,1,0.999950469,3.621706724,0.024143519,0,0.087194679,0,3.23772E-05,0,0,0,0
147,147.9375259,10.16.2015 09:36:46,87.93645846,2,1,0.999950469,3.622030735,0.024425637,0,0.088216482,0,0.000129604,0,0,0,0
148,148.9530546,10.16.2015 09:36:47,88.95198702,2,1,0.999769151,3.622030735,0.024707709,0,0.089238153,0,9.71794E-05,0,0,0,0
149,149.967733,10.16.2015 09:36:48,89.9666652,2,1,0.999950469,3.62219286,0.02498955,0,0.090259008,0,0.000129604,0,0,0,0
150,150.9687193,10.16.2015 09:36:49,90.96765177,2,1,0.999950469,3.62219286,0.025267584,0,0.091266112,0,6.48022E-05,0,0,0,0
151,151.9830809,10.16.2015 09:36:50,91.98201331,2,1,0.999769151,3.622354746,0.02552796,0,0.092209273,0,9.71794E-05,0,0,0,0
152,152.9842585,10.16.2015 09:36:51,92.98319097,2,1,0.999950469,3.622354746,0.025827409,0,0.093294012,0,6.46026E-05,0,0,0,0
153,153.9998834,10.16.2015 09:36:52,93.99881584,2,1,0.999950469,3.622678757,0.026109521,0,0.094315973,0,0.000129604,0,0,0,0
154,154.9999538,10.16.2015 09:36:53,94.9988864,2,1,1.000131845,3.622840881,0.026387304,0,0.09532228,0,0.000129604,0,0,0,0
155,156.0000321,10.16.2015 09:36:54,95.99896463,2,1,0.999769151,3.62251687,0.026665093,0,0.096328632,0,6.48022E-05,0,0,0,0
156,157.0154679,10.16.2015 09:36:55,97.0144004,2,1,1.000131845,3.622840881,0.026947139,0,0.097350426,0,9.72271E-05,0,0,0,0
157,158.0304631,10.16.2015 09:36:56,98.02939562,2,1,0.999769151,3.622840881,0.027229067,0,0.09837183,0,6.48022E-05,0,0,0,0
158,159.0306681,10.16.2015 09:36:57,99.02960071,2,1,0.999950469,3.623003006,0.027506887,0,0.099378372,0,3.24249E-05,0,0,0,0
159,160.0312042,10.16.2015 09:36:58,100.0301367,2,1,0.999950469,3.623164892,0.027784798,0,0.100385279,0,6.48022E-05,0,0,0,0
160,161.0466894,10.16.2015 09:36:59,101.045622,2,1,0.999950469,3.623164892,0.02806686,0,0.101407244,0,6.48022E-05,0,0,0,0
161,162.0466913,10.16.2015 09:37:00,102.0456238,2,1,1.000131845,3.623327017,0.028344632,0,0.10241369,0,9.72271E-05,0,0,0,0
162,163.0624628,10.16.2015 09:37:01,103.0613954,2,1,0.999950469,3.623327017,0.028626777,0,0.103436002,0,3.24249E-05,0,0,0,0
163,164.0779447,10.16.2015 09:37:02,104.0768772,2,1,0.999950469,3.623488903,0.028908837,0,0.104458028,0,6.48022E-05,0,0,0,0
164,165.0935103,10.16.2015 09:37:03,105.0924428,2,1,0.999769151,3.623488903,0.02919093,0,0.105480191,0,6.48022E-05,0,0,0,0
165,166.1091264,10.16.2015 09:37:04,106.108059,2,1,0.999769151,3.623651028,0.029473027,0,0.106502402,0,6.48022E-05,0,0,0,0
166,167.1091726,10.16.2015 09:37:05,107.1081052,2,1,0.999950469,3.623651028,0.029750814,0,0.107509035,0,6.48022E-05,0,0,0,0
167,168.1246557,10.16.2015 09:37:06,108.1235882,2,1,0.999769151,3.623812914,0.030032883,0,0.108531218,0,9.71794E-05,0,0,0,0
168,169.1403365,10.16.2015 09:37:07,109.139269,2,1,0.999950469,3.624136925,0.030315011,0,0.109553632,0,0.000129604,0,0,0,0
169,170.1403611,10.16.2015 09:37:08,110.1392936,2,1,1.000131845,3.623975039,0.030592787,0,0.110560302,0,6.48022E-05,0,0,0,0
170,171.1559459,10.16.2015 09:37:09,111.1548784,2,1,1.000131845,3.624299049,0.03087487,0,0.111582595,0,9.72271E-05,0,0,0,0
171,172.1715946,10.16.2015 09:37:10,112.1705271,2,1,0.999950469,3.624136925,0.031156984,0,0.112605026,0,6.48022E-05,0,0,0,0
172,173.1871998,10.16.2015 09:37:11,113.1861322,2,1,0.999769151,3.624299049,0.031439088,0,0.113627457,0,6.48022E-05,0,0,0,0
173,174.202792,10.16.2015 09:37:12,114.2017245,2,1,0.999950469,3.624299049,0.031721182,0,0.114649866,0,6.48022E-05,0,0,0,0
174,175.2028238,10.16.2015 09:37:13,115.2017563,2,1,0.999950469,3.62462306,0.031998949,0,0.115656607,0,9.72271E-05,0,0,0,0
175,176.2184336,10.16.2015 09:37:14,116.217366,2,1,0.999950469,3.62462306,0.032281044,0,0.116679071,0,6.48022E-05,0,0,0,0
176,177.2340212,10.16.2015 09:37:15,117.2329537,2,1,1.000131845,3.624947071,0.032563135,0,0.117701539,0,9.72271E-05,0,0,0,0
177,178.2496211,10.16.2015 09:37:16,118.2485536,2,1,0.999950469,3.624784946,0.032845235,0,0.118724063,0,6.48022E-05,0,0,0,0
178,179.2652451,10.16.2015 09:37:17,119.2641776,2,1,1.000131845,3.624784946,0.033127329,0,0.119746595,0,9.71794E-05,0,0,0,0
179,180.2808453,10.16.2015 09:37:18,120.2797778,2,1,0.999769151,3.624784946,0.033409426,0,0.120769156,0,6.48022E-05,0,0,0,0
180,181.2809333,10.16.2015 09:37:19,121.2798659,2,1,1.000313163,3.625109196,0.033687215,0,0.121776134,0,9.72271E-05,0,0,0,0
181,182.2964556,10.16.2015 09:37:20,122.295388,2,1,0.999769151,3.624947071,0.033969296,0,0.122798687,0,3.24249E-05,0,0,0,0
182,183.2966355,10.16.2015 09:37:21,123.295568,2,1,0.999950469,3.625109196,0.034247115,0,0.123805817,0,3.24249E-05,0,0,0,0
183,184.312075,10.16.2015 09:37:22,124.3110075,2,1,0.999950469,3.625271082,0.034529179,0,0.124828366,0,6.48022E-05,0,0,0,0
184,185.3277184,10.16.2015 09:37:23,125.3266509,2,1,0.999769151,3.625433207,0.034811295,0,0.125851131,0,9.72271E-05,0,0,0,0
185,186.3433157,10.16.2015 09:37:24,126.3422481,2,1,0.999950469,3.625433207,0.035093389,0,0.126873842,0,9.72271E-05,0,0,0,0
186,187.3586769,10.16.2015 09:37:25,127.3576094,2,1,0.999950469,3.625595093,0.035375414,0,0.127896321,0,6.48022E-05,0,0,0,0
187,188.3589298,10.16.2015 09:37:26,128.3578623,2,1,1.000131845,3.625595093,0.03565324,0,0.128903585,0,6.48022E-05,0,0,0,0
188,189.3745206,10.16.2015 09:37:27,129.3734532,2,1,0.999950469,3.625757217,0.035935337,0,0.129926365,0,9.72271E-05,0,0,0,0
189,190.3901334,10.16.2015 09:37:28,130.3890658,2,1,0.999769151,3.625595093,0.036217448,0,0.130949226,0,3.23772E-05,0,0,0,0
190,191.3901676,10.16.2015 09:37:29,131.3891001,2,1,0.999950469,3.625757217,0.036495221,0,0.131956379,0,3.24249E-05,0,0,0,0
191,192.4057358,10.16.2015 09:37:31,132.4046682,2,1,1.000131845,3.625919104,0.036777305,0,0.132979181,0,9.71794E-05,0,0,0,0
192,193.421251,10.16.2015 09:37:32,133.4201835,2,1,0.999769151,3.625919104,0.037059367,0,0.134001923,0,3.23772E-05,0,0,0,0
193,194.4213962,10.16.2015 09:37:33,134.4203288,2,1,0.999950469,3.626081228,0.037337171,0,0.135009243,0,6.48022E-05,0,0,0,0
194,195.4369498,10.16.2015 09:37:34,135.4358823,2,1,0.999769151,3.626081228,0.037619245,0,0.13603207,0,3.24249E-05,0,0,0,0
195,196.4370016,10.16.2015 09:37:35,136.4359341,2,1,0.999950469,3.626405239,0.037897013,0,0.13703931,0,9.72271E-05,0,0,0,0
196,197.4525369,10.16.2015 09:37:36,137.4514694,2,1,0.999950469,3.626405239,0.038179089,0,0.138062202,0,6.48022E-05,0,0,0,0
